============================================================
  DISK OPTIMIZATION SCRIPT - Quality Preserved
  Mode: DRY RUN (no changes)
  Log: \python\MCP\Tools\optimize_log_20260425_172012.txt
============================================================

===== STEP 1: Python __pycache__ (auto-regenerated) =====
  [DRY] Would remove __pycache__ (0.01 MB): \python\core\__pycache__
  [DRY] Would remove __pycache__ (0.04 MB): \python\gstack_core\__pycache__
  [DRY] Would remove __pycache__ (0.04 MB): \python\MCP_Core\__pycache__
  [DRY] Would remove __pycache__ (0.02 MB): \python\MCP_Core\skills\__pycache__
  [DRY] Would remove __pycache__ (0.02 MB): \python\MCP_Core\skills\automated_testing\__pycache__
  [DRY] Would remove __pycache__ (0.02 MB): \python\MCP_Core\skills\automated_workflow\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): \python\MCP_Core\skills\background_process_manager\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): \python\MCP_Core\skills\claude_code\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): \python\MCP_Core\skills\continuous_integration\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): \python\MCP_Core\skills\dify_platform\__pycache__
  [DRY] Would remove __pycache__ (0.02 MB): \python\MCP_Core\skills\github_api_manager\__pycache__
  [DRY] Would remove __pycache__ (0.02 MB): \python\MCP_Core\skills\github_project_search\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): \python\MCP_Core\skills\java_guide\__pycache__
  [DRY] Would remove __pycache__ (0.03 MB): \python\MCP_Core\skills\mempalace\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): \python\MCP_Core\skills\n8n_workflow\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): \python\MCP_Core\skills\open_webui\__pycache__
  [DRY] Would remove __pycache__ (0.02 MB): \python\MCP_Core\skills\software_location_manager\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): %SOFTWARE_DIR%\AI\ComfyUI\__pycache__
  [DRY] Would remove __pycache__ (0 MB): %SOFTWARE_DIR%\AI\ComfyUI\comfy\__pycache__
  [DRY] Would remove __pycache__ (0 MB): %SOFTWARE_DIR%\AI\ComfyUI\custom_nodes\ComfyUI_essentials\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): %SOFTWARE_DIR%\AI\ComfyUI\custom_nodes\ComfyUI_Flowty_TripoSR\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\plugins\win7_x64_PaddleOCR-json\__pycache__
  [DRY] Would remove __pycache__ (0 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\py_src\__pycache__
  [DRY] Would remove __pycache__ (0 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\py_src\event_bus\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\py_src\image_controller\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\py_src\imports\__pycache__
  [DRY] Would remove __pycache__ (0.03 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\py_src\mission\__pycache__
  [DRY] Would remove __pycache__ (0 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\py_src\platform\__pycache__
  [DRY] Would remove __pycache__ (0 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\py_src\plugins_controller\__pycache__
  [DRY] Would remove __pycache__ (0.18 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\py_src\server\__pycache__
  [DRY] Would remove __pycache__ (0.02 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\py_src\tag_pages\__pycache__
  [DRY] Would remove __pycache__ (0.02 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\py_src\utils\__pycache__
  [DRY] Would remove __pycache__ (0.03 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\site-packages\__pycache__
  [DRY] Would remove __pycache__ (0 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\site-packages\fitz\__pycache__
  [DRY] Would remove __pycache__ (0.17 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\site-packages\PIL\__pycache__
  [DRY] Would remove __pycache__ (0.11 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\site-packages\psutil\__pycache__
  [DRY] Would remove __pycache__ (3.07 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\site-packages\pymupdf\__pycache__
  [DRY] Would remove __pycache__ (0 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\site-packages\pynput\__pycache__
  [DRY] Would remove __pycache__ (0 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\site-packages\PySide2\__pycache__
  [DRY] Would remove __pycache__ (0 MB): %SOFTWARE_DIR%\GJ\Umi-OCR_Paddle_v2.1.5\UmiOCR-data\site-packages\shiboken2\__pycache__
  [DRY] Would remove __pycache__ (0.56 MB): %SOFTWARE_DIR%\KF\JM\GodotBlenderBridge\blender_addon\ai_auto_pipeline\__pycache__
  [DRY] Would remove __pycache__ (0.21 MB): %SOFTWARE_DIR%\LLQ\browser-use-main\venv\Lib\site-packages\__pycache__
  [DRY] Would remove __pycache__ (0.03 MB): %SOFTWARE_DIR%\LLQ\browser-use-main\venv\Scripts\__pycache__
  [DRY] Would remove __pycache__ (2.48 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\__pycache__
  [DRY] Would remove __pycache__ (0.07 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\collections\__pycache__
  [DRY] Would remove __pycache__ (0.03 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\ctypes\__pycache__
  [DRY] Would remove __pycache__ (0.38 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\email\__pycache__
  [DRY] Would remove __pycache__ (0.06 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\encodings\__pycache__
  [DRY] Would remove __pycache__ (0.11 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\html\__pycache__
  [DRY] Would remove __pycache__ (0.16 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\http\__pycache__
  [DRY] Would remove __pycache__ (0.02 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\importlib\__pycache__
  [DRY] Would remove __pycache__ (0.04 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\json\__pycache__
  [DRY] Would remove __pycache__ (0.2 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\logging\__pycache__
  [DRY] Would remove __pycache__ (0.09 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\re\__pycache__
  [DRY] Would remove __pycache__ (0.29 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\site-packages\__pycache__
  [DRY] Would remove __pycache__ (0.03 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\tomllib\__pycache__
  [DRY] Would remove __pycache__ (0.17 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\urllib\__pycache__
  [DRY] Would remove __pycache__ (0 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\xml\__pycache__
  [DRY] Would remove __pycache__ (0.05 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\xmlrpc\__pycache__
  [DRY] Would remove __pycache__ (0.09 MB): D:\vcp\VCPToolBox-main\runtimes\python\Lib\zipfile\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): D:\vcp\VCPToolBox-main\runtimes\python\Scripts\__pycache__
  [DRY] Would remove __pycache__ (0.08 MB): D:\\̩Ƽ\UE_Automation\core\__pycache__
  [DRY] Would remove __pycache__ (0 MB): E:\\̴\pythonProject2\.venv\Lib\site-packages\__pycache__
  [DRY] Would remove __pycache__ (0 MB): E:\\̴\PythonProject3\.venv\Lib\site-packages\__pycache__
  [DRY] Would remove __pycache__ (0.08 MB): F:\\\AIƳļ\UE_Automation\core\__pycache__
  [DRY] Would remove __pycache__ (1 MB): F:\\blender\RetopoFlow_v3.4.10\retopoflow\addon_common\common\__pycache__
  [DRY] Would remove __pycache__ (0.15 MB): F:\\blender\RetopoFlow_v3.4.10\retopoflow\addon_common\ext\__pycache__
  [DRY] Would remove __pycache__ (0.01 MB): F:\\blender\RetopoFlow_v3.4.10\retopoflow\addon_common\terminal\__pycache__
  [DRY] Would remove __pycache__ (0 MB): F:\\blender\RetopoFlow_v3.4.10\retopoflow\config\__pycache__
